disease,medication
Fetal Macrosomia,"Capecitabine, Immun Glob G(IGG) Malt Iga 50+, Octreotide Acetate, "
Hydrops Fetalis,"Omalizumab, Rosuvastatin Calcium, Lenalidomide, Emtricitabine Tenofovir, Epoetin Alfa, Certolizumab Pegol, "
Fetal Hypoxia,"Esomeprazole Magnesium, Duloxetine HCl, Denosumab, Fulvestrant, Rituximab, "
Fetal Nutrition Disorders,"Cyclophosphamide, Ambrisentan, Bosentan, "
Hypertension Pregnancy-Induced,"Ursodiol, Abiraterone Acetate, "
HELLP Syndrome,"Clomipramine HCL, Enalapril Maleate, Simeprevir Sodium, Aflibercept, Clobetasol Propionate, Methylprednisolone Acetate (80 mg), "
Hyperemesis Gravidarum,"Ibrutinib, Sipuleucel-T Lactated Ringers, Cyanocobalamin (Vitamin B-12), Carfilzomib, "
Abruptio Placentae,"Sofosbuvir, Pegfilgrastim, Formoterol Fumarate, Esomeprazole Magnesium, "
Breech Presentation,"Doxazosin Mesylate, Paclitaxel Protein-Bound, Dimethyl Fumarate, Mitomycin, Simeprevir Sodium, "
Dystocia,"Ranibizumab, Sitagliptin Phosphate, Albuterol Sulfate, Bortezomib, "
Oligohydramnios,"Simeprevir Sodium, Octreotide Acetate, "
Placental Insufficiency,"Methylprednisolone Acetate (80 mg), Paliperidone Palmitate, Cyclophosphamide, "
Pregnancy Prolonged,"Doxazosin Mesylate, Epoetin Alfa, Diclofenac Sodium, "
Depression Postpartum,"Everolimus, Tiotropium Bromide, Rituximab, Captopril, Infliximab, Enalapril Maleate, "
Ductus Arteriosus Patent,"Immun Glob G(IGG) Pro Iga 0-50, Paliperidone Palmitate, Ibrutinib, Natalizumab, "
Ebstein Anomaly,"Infliximab, Paliperidone Palmitate, Rosuvastatin Calcium, "
Endocardial Cushion Defects,"Ipilimumab, Aripiprazole, Pegfilgrastim, Carbamazepine, Sipuleucel-T Lactated Ringers, "
Hypoplastic Left Heart Syndrome,"Darbepoetin Alfa In Polysorbat, Methylprednisolone Acetate (40 mg), Mitomycin, "
Transposition of Great Vessels,"Clomipramine HCL, Raltegravir Potassium, "
Arrhythmia Sinus,"Insulin Glargine,Hum.Rec.Anlog, Bevacizumab, Bendamustine HCl, Cyanocobalamin (Vitamin B-12), Treprostinil Sodium, Memantine HCl, "
Adams-Stokes Syndrome,"Pemetrexed Disodium, Bendamustine HCl, Lenalidomide, Fluticasone Salmeterol, "
Atrioventricular Block,"Tiotropium Bromide, Prednisolone Acetate, Albuterol Sulfate, Infliximab, Cyanocobalamin (Vitamin B-12), Corticotropin, "
Tachycardia Ectopic Atrial,"Bendamustine HCl, Treprostinil Sodium, Memantine HCl, "
Cardiac Output High,"Trastuzumab, Enalapril Maleate, Everolimus, "
Hypertrophy Right Ventricular,"Bortezomib, Natalizumab, Treprostinil Sodium, "
Cardiomyopathy Alcoholic,"Ipilimumab, Ambrisentan, Memantine HCl, Pegfilgrastim, "
Cardiomyopathy Hypertrophic Familial,"Treprostinil Sodium, Ibrutinib, "
Endomyocardial Fibrosis,"Fulvestrant, Aminolevulinic Acid HCl, Rituximab, Ursodiol, "
Edema Cardiac,"Efavirenz Emtricitab Tenofovir, Aripiprazole, Aflibercept, Aminolevulinic Acid HCl, "
Heart Failure Diastolic,"Sofosbuvir, Aripiprazole, Aminolevulinic Acid HCl, Rituximab, Memantine HCl, "
Heart Rupture,"Sofosbuvir, Cyclophosphamide, "
Microvascular Angina,"Efavirenz Emtricitab Tenofovir, Aripiprazole, Thyrotropin Alfa, Enalapril Maleate, "
Myocardial Stunning,"Arformoterol Tartrate, Epoetin alfa, Bexarotene, Aminolevulinic Acid HCl, Fluticasone Salmeterol, "
Ventricular Dysfunction Right,"Ledipasvir Sofosbuvir, Insulin Glargine,Hum.Rec.Anlog, "
Angioedemas Hereditary,"Octreotide Acetate, Corticotropin, Ledipasvir Sofosbuvir, Captopril, Raltegravir Potassium, "
Prehypertension,"Teriparatide, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Adalimumab, Carfilzomib, "
Telangiectasis,"Octreotide Acetate,mi-Spheres, Naproxen Esomeprazole Mag, Tiotropium Bromide, "
Vascular System Injuries,"Metformin HCl, Bosentan, Raltegravir Potassium, "
Venous Insufficiency,"Sitagliptin Phosphate, Azacitidine, Cyanocobalamin (Vitamin B-12), Bendamustine HCl, "
Anemia Neonatal,"Abatacept Abatacept Maltose, Lenalidomide, Prednisolone Acetate, Alteplase, Arformoterol Tartrate, Epoetin Alfa, "
Hemophilia B,"Clobetasol Propionate, Captopril, Bortezomib, "
Blood Platelet Disorders,"Fulvestrant, Ranibizumab, Aflibercept, "
IgA Deficiency,"Ledipasvir Sofosbuvir, Aminolevulinic Acid HCl, Efavirenz Emtricitab Tenofovir, Esomeprazole Magnesium, "
Hypoalbuminemia,"Tiotropium Bromide, Erlotinib HCl, Paclitaxel Protein-Bound, Emtricitabine Tenofovir, Sipuleucel-T Lactated Ringers, Enzalutamide, "
Thrombophilia,"Bexarotene, Econazole Nitrate, Bupropion HCl, Diclofenac Sodium, Ledipasvir Sofosbuvir, Octreotide Acetate, "
Lymphangiectasis Intestinal,"Epoetin alfa, Emtricitabine Tenofovir, Carbamazepine, Corticotropin, Pegfilgrastim, Paclitaxel Protein-Bound, "
Beckwith-Wiedemann Syndrome,"Darbepoetin Alfa In Polysorbat, Glatiramer Acetate, Raltegravir Potassium, "
Smith-Lemli-Opitz Syndrome,"Glatiramer Acetate, Methylprednisolone Acetate (40 mg), Aflibercept, Gemcitabine HCl, Pemetrexed Disodium, "
Trichothiodystrophy Syndromes,"Carfilzomib, Infliximab, "
Epidermolysis Bullosa,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Omalizumab, Bupropion HCl, "
Epidermolysis Bullosa Dystrophica,"Denosumab, Epoetin Alfa, "
Hyperhomocysteinemia,"Ipilimumab, "
Congenital Disorders of Glycosylation,"Glucagon,human Recombinant, Teriparatide, Bosentan, Pegfilgrastim, "
Glycogen Storage Disease Type I,"Chlorpromazine HCl, Octreotide Acetate, Lenalidomide, Teriparatide, Bosentan, "
Glycogen Storage Disease Type III,"Efavirenz Emtricitab Tenofovir, Sofosbuvir, Pegfilgrastim, "
Mucopolysaccharidoses,"Paclitaxel Protein-Bound, Ledipasvir Sofosbuvir, Abatacept Abatacept Maltose, Corticotropin, "
Mucopolysaccharidosis I,"Immun Glob G(IGG) Pro Iga 0-50, Captopril, "
Mucopolysaccharidosis III,"Methylprednisolone Acetate (40 mg), Corticotropin, "
Pyruvate Metabolism Inborn Errors,"Aflibercept, Metformin HCl, Emtricitabine Tenofovir, "
Hyperlipidemia Familial Combined,"Ibrutinib, Ambrisentan, "
Hyperlipoproteinemia Type I,"Infliximab, Efavirenz Emtricitab Tenofovir, Bortezomib, Paliperidone Palmitate, Sofosbuvir, "
Hyperlipoproteinemia Type II,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Bexarotene, Paliperidone Palmitate, "
Hyperlipoproteinemia Type III,"Ledipasvir Sofosbuvir, Adalimumab, "
Hyperlipoproteinemia Type IV,"Methylprednisolone Acetate (80 mg), Diclofenac Sodium, "
Hyperlipoproteinemia Type V,"Gemcitabine HCl, Cetuximab, Bupropion HCl, "
Abetalipoproteinemia,"Aflibercept, Emtricitabine Tenofovir, Naproxen Esomeprazole Mag, Trastuzumab, "
Lipidoses,"Metformin HCl, Simeprevir Sodium, Enzalutamide, "
Lysosomal Storage Diseases,"Trastuzumab, Rivaroxaban, Capecitabine, "
Hypophosphatasia,"Immun Glob G (IGG) Gly Iga 50+, Memantine HCl, Propranolol HCl, Bosentan, "
Skin Diseases Genetic,"Sipuleucel-T Lactated Ringers, Aminolevulinic Acid HCl, Octreotide Acetate,mi-Spheres, Carfilzomib, "
Hernia Umbilical,"Metformin HCl, Immun Glob G (IGG) Gly Iga 50+, Octreotide Acetate,mi-Spheres, "
Keloid,"Rivaroxaban, Pemetrexed Disodium, Econazole Nitrate, Tiotropium Bromide, Sirolimus, Trastuzumab, "
Fibrocystic Breast Disease,"Glatiramer Acetate, Chlorpromazine HCl, Ambrisentan, Treprostinil Sodium, "
Dermatitis Irritant,"Aripiprazole, Raltegravir Potassium, "
Dermatitis Phototoxic,"Bosentan, Ipilimumab, Arformoterol Tartrate, Econazole Nitrate, "
Foot Ulcer,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Metformin HCl, Bupropion HCl, "
Hypertrichosis,"Imatinib Mesylate, Abiraterone Acetate, Efavirenz Emtricitab Tenofovir, "
Keratosis,"Azacitidine, Gemcitabine HCl, Thyrotropin Alfa, Cetuximab, "
Callosities,"Econazole Nitrate, Abatacept Abatacept Maltose, Treprostinil Sodium, Natalizumab, "
Melanosis,"Memantine HCl, Abiraterone Acetate, Gemcitabine HCl, Denosumab, Cetuximab, Carfilzomib, "
Acanthosis Nigricans,"Capecitabine, Azacitidine, Immun Glob G(IGG) Pro Iga 0-50, Enzalutamide, Sipuleucel-T Lactated Ringers, "
Lentigo,"Aripiprazole, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Adalimumab, Erlotinib HCl, "
Calciphylaxis,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Etanercept, Omalizumab, Erlotinib HCl, Albuterol Sulfate, "
Glucose Metabolism Disorders,"Sipuleucel-T Lactated Ringers, Duloxetine HCl, Trastuzumab, Infliximab, Pegfilgrastim, Pregabalin, "
Diabetes Mellitus Lipoatrophic,"Certolizumab Pegol, Sipuleucel-T Lactated Ringers, Corticotropin, "
Glucose Intolerance,"Simeprevir Sodium, Sitagliptin Phosphate, Econazole Nitrate, Pegfilgrastim, Carbamazepine, Mitomycin, "
Iron Metabolism Disorders,"Ibrutinib, Methylprednisolone Acetate (80 mg), Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Rivaroxaban, Tiotropium Bromide, "
Lipid Metabolism Disorders,"Enalapril Maleate, Daptomycin, "
Dyslipidemias,"Octreotide Acetate, Paclitaxel Protein-Bound, Glatiramer Acetate, "
Hyperlipoproteinemias,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Glucagon,human Recombinant, Aminolevulinic Acid HCl, Propranolol HCl, "
Hyperphosphatemia,"Lenalidomide, Clobetasol Propionate, "
Wasting Syndrome,"Everolimus, Gemcitabine HCl, Abiraterone Acetate, Methylprednisolone Acetate (40 mg), Raltegravir Potassium, "
Hypervitaminosis A,"Cetuximab, Naproxen Esomeprazole Mag, "
Choline Deficiency,"Rituximab, Rosuvastatin Calcium, Albuterol Sulfate, Enalapril Maleate, Rivaroxaban, "
Riboflavin Deficiency,"Propranolol HCl, Adalimumab, Immun Glob G(IGG) Pro Iga 0-50, "
Beriberi,"Ursodiol, Chlorpromazine HCl, Doxazosin Mesylate, Aripiprazole, Rosuvastatin Calcium, "
Vitamin E Deficiency,"Memantine HCl, Omalizumab, Sofosbuvir, Everolimus, Daptomycin, "
Swayback,"Pregabalin, Bortezomib, Prednisolone Acetate, Corticotropin, Esomeprazole Magnesium, "
Overnutrition,"Natalizumab, Glucagon,human Recombinant, Bosentan, "
Obesity Abdominal,"Immun Glob G(IGG) Malt Iga 50+, Pregabalin, Ambrisentan, Infliximab, "
Gonadal Disorders,"Arformoterol Tartrate, Abiraterone Acetate, Methylprednisolone Acetate (80 mg), Propranolol HCl, "
Eunuchism,"Denosumab, Aripiprazole, Econazole Nitrate, Aminolevulinic Acid HCl, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Ipilimumab, "
Puberty Delayed,"Capecitabine, Abiraterone Acetate, Prednisolone Acetate, "
Euthyroid Sick Syndromes,"Rivaroxaban, Hydroxychloroquine Sulfate, Sitagliptin Phosphate, Clobetasol Propionate, "
Goiter Endemic,"Simeprevir Sodium, Adalimumab, Epoetin Alfa, Mitomycin, "
Hyperthyroxinemia,"Sirolimus, Rosuvastatin Calcium, Immun Glob G(IGG) Pro Iga 0-50, "
Thyroid Hormone Resistance Syndrome,"Cetuximab, Alteplase, "
Peanut Hypersensitivity,"Bevacizumab, Esomeprazole Magnesium, Efavirenz Emtricitab Tenofovir, Sofosbuvir, Ursodiol, Octreotide Acetate,mi-Spheres, "
Agoraphobia,"Econazole Nitrate, Dimethyl Fumarate, Cyanocobalamin (Vitamin B-12), Alteplase, "
Dissociative Disorders,"Glucagon,human Recombinant, Pneumococcal 13-Valent Vaccine, Paclitaxel Protein-Bound, Bevacizumab, Chlorpromazine HCl, "
Binge-Eating Disorder,"Bevacizumab, Methylprednisolone Acetate (80 mg), Simeprevir Sodium, Tiotropium Bromide, Cyclophosphamide, Efavirenz Emtricitab Tenofovir, "
Bulimia Nervosa,"Dimethyl Fumarate, Corticotropin, Daptomycin, Omalizumab, Ledipasvir Sofosbuvir, "
Coprophagia,"Thyrotropin Alfa, Treprostinil Sodium, "
Pica,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Darbepoetin Alfa In Polysorbat, "
Impulse Control Disorders,"Albuterol Sulfate, Sipuleucel-T Lactated Ringers, Mitomycin, "
Trichotillomania,"Daptomycin, Everolimus, "
Anxiety Separation,"Immun Glob G (IGG) Gly Iga 50+, Enzalutamide, Teriparatide, Azacitidine, "
Asperger Syndrome,"Erlotinib HCl, Simeprevir Sodium, Sofosbuvir, Carbamazepine, "
Feeding and Eating Disorders of Childhood,"Clomipramine HCL, Enzalutamide, Pemetrexed Disodium, Rituximab, Digoxin, Capecitabine, "
Motor Skills Disorders,"Albuterol Sulfate, Denosumab, Capecitabine, Octreotide Acetate, Sitagliptin Phosphate, Ambrisentan, "
Stereotypic Movement Disorder,"Rosuvastatin Calcium, Sirolimus, Aripiprazole, Carbamazepine, "
Dysthymic Disorder,"Aripiprazole, Naproxen Esomeprazole Mag, "
Seasonal Affective Disorder,"Cetuximab, Divalproex Sodium, "
Schizotypal Personality Disorder,"Rosuvastatin Calcium, Duloxetine HCl, Darbepoetin Alfa In Polysorbat, "
Schizophrenia Paranoid,"Epoetin alfa, Ambrisentan, Methylprednisolone Acetate (40 mg), "
Sexual Dysfunctions Psychological,"Octreotide Acetate,mi-Spheres, Ranibizumab, Bortezomib, Methylprednisolone Acetate (80 mg), Erlotinib HCl, "
Paraphilias,"Abiraterone Acetate, Naproxen Esomeprazole Mag, Aflibercept, Lenalidomide, Methylprednisolone Acetate (80 mg), "
Transsexualism,"Everolimus, Pneumococcal 13-Valent Vaccine, Rosuvastatin Calcium, Immun Glob G (IGG) Gly Iga 50+, Ipilimumab, "
Body Dysmorphic Disorders,"Immun Glob G(IGG) Pro Iga 0-50, Fulvestrant, Methylprednisolone Acetate (80 mg), "
Atrophy,"Albuterol Sulfate, Lenalidomide, "
Dilatation Pathologic,"Carfilzomib, Rituximab, Adalimumab, Sofosbuvir, Fulvestrant, Fluticasone Salmeterol, "
Hernia Femoral,"Esomeprazole Magnesium, Cyanocobalamin (Vitamin B-12), Diclofenac Sodium, Glucagon,human Recombinant, Everolimus, Corticotropin, "
Hernia Ventral,"Denosumab, Immun Glob G (IGG) Gly Iga 50+, Cyanocobalamin (Vitamin B-12), "
Hernia Obturator,"Emtricitabine Tenofovir, Pneumococcal 13-Valent Vaccine, "
Hypertrophy,"Metformin HCl, Methylprednisolone Acetate (80 mg), "
Nails Malformed,"Glatiramer Acetate, Rituximab, Alteplase, Omalizumab, "
Plaque Amyloid,"Alteplase, Gemcitabine HCl, Octreotide Acetate, "
Plaque Atherosclerotic,"Natalizumab, Clobetasol Propionate, Aripiprazole, Carbamazepine, "
Intestinal Polyps,"Abatacept Abatacept Maltose, Glatiramer Acetate, Paclitaxel Protein-Bound, Gemcitabine HCl, "
Colonic Polyps,"Ledipasvir Sofosbuvir, Arformoterol Tartrate, Daptomycin, Certolizumab Pegol, Abiraterone Acetate, "
Ventricular Remodeling,"Divalproex Sodium, Thyrotropin Alfa, Imatinib Mesylate, Cyanocobalamin (Vitamin B-12), "
Chromosome Breakage,"Raltegravir Potassium, Carbamazepine, Albuterol Sulfate, Enalapril Maleate, Bexarotene, Pregabalin, "
Uniparental Disomy,"Emtricitabine Tenofovir, Adalimumab, Octreotide Acetate,mi-Spheres, "
XYY Karyotype,"Pneumococcal 13-Valent Vaccine, Carfilzomib, Simeprevir Sodium, "
Translocation Genetic,"Octreotide Acetate,mi-Spheres, Immun Glob G(IGG) Pro Iga 0-50, Esomeprazole Magnesium, Rivaroxaban, Albuterol Sulfate, "
Delayed Graft Function,"Azacitidine, Ipilimumab, Carfilzomib, Glatiramer Acetate, Octreotide Acetate,mi-Spheres, "
Hyperplasia,"Teriparatide, Pneumococcal 13-Valent Vaccine, Bendamustine HCl, "
Dysmenorrhea,"Pregabalin, Adalimumab, Rituximab, Tiotropium Bromide, Diclofenac Sodium, "
Oligomenorrhea,"Epoetin alfa, Glatiramer Acetate, Ursodiol, "
Metaplasia,"Metformin HCl, Certolizumab Pegol, Octreotide Acetate,mi-Spheres, "
Graft Occlusion Vascular,"Thyrotropin Alfa, Carbamazepine, "
Yang Deficiency,"Chlorpromazine HCl, Corticotropin, "
Opioid-Related Disorders,"Aflibercept, Ambrisentan, Paliperidone Palmitate, Pregabalin, "
Fluoride Poisoning,"Immun Glob G(IGG) Pro Iga 0-50, Albuterol Sulfate, Memantine HCl, "
Mushroom Poisoning,"Sitagliptin Phosphate, Econazole Nitrate, Divalproex Sodium, Gemcitabine HCl, Ranibizumab, Corticotropin, "
Mercury Poisoning,"Everolimus, Econazole Nitrate, "
Mycotoxicosis,"Memantine HCl, Naproxen Esomeprazole Mag, "
Lathyrism,"Fluticasone Salmeterol, Sirolimus, Enalapril Maleate, "
Tobacco Use Disorder,"Emtricitabine Tenofovir, Trastuzumab, Glucagon,human Recombinant, "
Forearm Injuries,"Corticotropin, Abatacept Abatacept Maltose, Fluticasone Salmeterol, Paclitaxel Protein-Bound, "
Ulna Fractures,"Ipilimumab, Darunavir Ethanolate, Denosumab, "
Humeral Fractures,"Rosuvastatin Calcium, Dimethyl Fumarate, "
Shoulder Dislocation,"Adalimumab, Rivaroxaban, Thyrotropin Alfa, Cyclophosphamide, "
Wrist Injuries,"Naproxen Esomeprazole Mag, Rosuvastatin Calcium, Everolimus, "
Eye Foreign Bodies,"Thyrotropin Alfa, Octreotide Acetate,mi-Spheres, Captopril, "
Jaw Fractures,"Divalproex Sodium, Duloxetine HCl, "
Mandibular Fractures,"Paliperidone Palmitate, Formoterol Fumarate, Fulvestrant, "
Orbital Fractures,"Emtricitabine Tenofovir, Rosuvastatin Calcium, "
Hip Dislocation,"Gemcitabine HCl, Glucagon,human Recombinant, "
Patellar Dislocation,"Captopril, Adalimumab, Tiotropium Bromide, Rivaroxaban, "
Femoral Neck Fractures,"Octreotide Acetate, Omalizumab, Paliperidone Palmitate, "
Fractures Compression,"Pregabalin, Ipilimumab, Clobetasol Propionate, "
Fractures Ununited,"Denosumab, Fulvestrant, Prednisolone Acetate, Aflibercept, Ledipasvir Sofosbuvir, "
Pseudarthrosis,"Emtricitabine Tenofovir, Adalimumab, Ipilimumab, Fulvestrant, Rosuvastatin Calcium, Rivaroxaban, "
Osteoporotic Fractures,"Adalimumab, Daptomycin, Chlorpromazine HCl, Abiraterone Acetate, Natalizumab, "
Colles' Fracture,"Memantine HCl, Glatiramer Acetate, "
Fractures Cartilage,"Enalapril Maleate, Carfilzomib, Trastuzumab, Pemetrexed Disodium, Imatinib Mesylate, "
Knee Injuries,"Alteplase, Corticotropin, Octreotide Acetate,mi-Spheres, Treprostinil Sodium, "
Neck Injuries,"Immun Glob G (IGG) Gly Iga 50+, Ursodiol, "
Whiplash Injuries,"Esomeprazole Magnesium, Clomipramine HCL, Fulvestrant, Rituximab, "
Soft Tissue Injuries,"Bendamustine HCl, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, "
Sprains and Strains,"Abiraterone Acetate, Omalizumab, Esomeprazole Magnesium, "
Sexually Transmitted Diseases,"Propranolol HCl, Sitagliptin Phosphate, Duloxetine HCl, Pneumococcal 13-Valent Vaccine, Econazole Nitrate, Cyclophosphamide, "
Candidiasis Vulvovaginal,"Doxazosin Mesylate, Captopril, Natalizumab, Etanercept, Arformoterol Tartrate, "
Meningitis Fungal,"Bupropion HCl, Propranolol HCl, Metformin HCl, Lenalidomide, Memantine HCl, "
Bell Palsy,"Bevacizumab, Memantine HCl, Digoxin, Formoterol Fumarate, Sirolimus, Efavirenz Emtricitab Tenofovir, "
Neuroectodermal Tumors Primitive,"Rivaroxaban, Infliximab, Adalimumab, Naproxen Esomeprazole Mag, Diclofenac Sodium, Treprostinil Sodium, "
Nevus Pigmented,"Captopril, Aminolevulinic Acid HCl, Azacitidine, Rosuvastatin Calcium, "
Mandibulofacial Dysostosis,"Everolimus, Octreotide Acetate, "
Foot Deformities Congenital,"Certolizumab Pegol, Daptomycin, Cyclophosphamide, Bevacizumab, "
Hand Deformities Acquired,"Ranibizumab, Sipuleucel-T Lactated Ringers, Arformoterol Tartrate, Captopril, "
Zellweger Syndrome,"Esomeprazole Magnesium, Mitomycin, Etanercept, "
Hearing Loss Conductive,"Methylprednisolone Acetate (80 mg), Etanercept, Denosumab, Propranolol HCl, Tiotropium Bromide, Bevacizumab, "
Vestibulocochlear Nerve Diseases,"Etanercept, Clomipramine HCL, Darbepoetin Alfa In Polysorbat, Cyclophosphamide, Ipilimumab, "
Epilepsy Post-Traumatic,"Glatiramer Acetate, Bevacizumab, Pegfilgrastim, Corticotropin, Teriparatide, Esomeprazole Magnesium, "
Epilepsy Benign Neonatal,"Teriparatide, Carfilzomib, Pegfilgrastim, Enzalutamide, Daptomycin, Naproxen Esomeprazole Mag, "
Esotropia,"Pneumococcal 13-Valent Vaccine, Paclitaxel Protein-Bound, Bortezomib, Bevacizumab, Glatiramer Acetate, Carbamazepine, "
Exotropia,"Bosentan, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Ranibizumab, Rituximab, Digoxin, Chlorpromazine HCl, "
Septo-Optic Dysplasia,"Simeprevir Sodium, Immun Glob G(IGG) Malt Iga 50+, Octreotide Acetate, Glatiramer Acetate, "
Language Disorders,"Daptomycin, Lenalidomide, "
Dyslexia,"Clomipramine HCL, Captopril, Epoetin alfa, Efavirenz Emtricitab Tenofovir, Naproxen Esomeprazole Mag, "
Labor Pain,"Fluticasone Salmeterol, Aminolevulinic Acid HCl, Insulin Glargine,Hum.Rec.Anlog, "
Shaken Baby Syndrome,"Alteplase, Memantine HCl, Corticotropin, Erlotinib HCl, Pegfilgrastim, Gemcitabine HCl, "
Vitreous Hemorrhage,"Digoxin, Pregabalin, Doxazosin Mesylate, "
Epiretinal Membrane,"Abatacept Abatacept Maltose, Fluticasone Salmeterol, Duloxetine HCl, Aminolevulinic Acid HCl, "
Retinal Detachment,"Trastuzumab, Rosuvastatin Calcium, Sitagliptin Phosphate, Efavirenz Emtricitab Tenofovir, "
Retinal Perforations,"Adalimumab, Digoxin, Raltegravir Potassium, Duloxetine HCl, "
Testicular Hydrocele,"Ibrutinib, Arformoterol Tartrate, "
Multicystic Dysplastic Kidney,"Imatinib Mesylate, Immun Glob G(IGG) Malt Iga 50+, "
Metrorrhagia,"Captopril, Abatacept Abatacept Maltose, Infliximab, Cyclophosphamide, Carfilzomib, "
Abortion Incomplete,"Sirolimus, Aminolevulinic Acid HCl, Capecitabine, Glucagon,human Recombinant, Dimethyl Fumarate, Etanercept, "
Morning Sickness,"Sirolimus, Enzalutamide, Immun Glob G(IGG) Pro Iga 0-50, "
Pemphigoid Gestationis,"Pegfilgrastim, Ipilimumab, Glatiramer Acetate, Natalizumab, Methylprednisolone Acetate (80 mg), Econazole Nitrate, "
Pregnancy Tubal,"Fulvestrant, Carfilzomib, Paliperidone Palmitate, Alteplase, Corticotropin, "
Galactorrhea,"Econazole Nitrate, Glucagon,human Recombinant, Bupropion HCl, "
Heart Septal Defects,"Paclitaxel Protein-Bound, Thyrotropin Alfa, Corticotropin, Sirolimus, Daptomycin, Tiotropium Bromide, "
Pulmonary Atresia,"Rivaroxaban, Enzalutamide, Carfilzomib, Metformin HCl, Daptomycin, Clomipramine HCL, "
Endocardial Fibroelastosis,"Fluticasone Salmeterol, Gemcitabine HCl, Paliperidone Palmitate, Abiraterone Acetate, "
Pneumopericardium,"Ranibizumab, Infliximab, Simeprevir Sodium, Teriparatide, Erlotinib HCl, Bexarotene, "
Embolism Paradoxical,"Methylprednisolone Acetate (80 mg), Carbamazepine, "
Fetomaternal Transfusion,"Mitomycin, Bexarotene, Captopril, Omalizumab, Bupropion HCl, "
Factor XI Deficiency,"Dimethyl Fumarate, Esomeprazole Magnesium, Darbepoetin Alfa In Polysorbat, Capecitabine, "
Hypoprothrombinemias,"Abatacept Abatacept Maltose, Immun Glob G(IGG) Malt Iga 50+, Natalizumab, Rosuvastatin Calcium, Chlorpromazine HCl, "
Thrombocytopenia Neonatal Alloimmune,"Bendamustine HCl, Bexarotene, Natalizumab, Ledipasvir Sofosbuvir, "
Ichthyosis Lamellar,"Aflibercept, Emtricitabine Tenofovir, "
Glycogen Storage Disease Type IV,"Glucagon,human Recombinant, Simeprevir Sodium, Ibrutinib, Trastuzumab, "
Hyperbilirubinemia Hereditary,"Clobetasol Propionate, Pegfilgrastim, Bexarotene, "
Paralysis Obstetric,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Pneumococcal 13-Valent Vaccine, "
Hyperbilirubinemia Neonatal,"Corticotropin, Methylprednisolone Acetate (80 mg), Lenalidomide, Arformoterol Tartrate, "
Persistent Hyperinsulinemia Hypoglycemia of Infancy,"Thyrotropin Alfa, Pregabalin, Raltegravir Potassium, Omalizumab, Ursodiol, "
Conduct Disorder,"Esomeprazole Magnesium, Abiraterone Acetate, Alteplase, Natalizumab, "
Leukoaraiosis,"Fluticasone Salmeterol, Metformin HCl, "
Sclerosis,"Daptomycin, Octreotide Acetate, Bendamustine HCl, "
Phencyclidine Abuse,"Daptomycin, Bendamustine HCl, Certolizumab Pegol, Memantine HCl, Abiraterone Acetate, "
Shoulder Fractures,"Treprostinil Sodium, Tiotropium Bromide, Denosumab, Pemetrexed Disodium, Epoetin Alfa, "
Sturge-Weber Syndrome,"Propranolol HCl, Digoxin, Abiraterone Acetate, Capecitabine, Prednisolone Acetate, "
Dyspareunia,"Lenalidomide, Dimethyl Fumarate, Rituximab, Adalimumab, Ambrisentan, "
Uterine Inversion,"Azacitidine, Erlotinib HCl, "
Uterine Inertia,"Omalizumab, Alteplase, "
Klippel-Trenaunay-Weber Syndrome,"Trastuzumab, Diclofenac Sodium, Corticotropin, Sirolimus, "
Carcinoma Neuroendocrine,"Lenalidomide, Pegfilgrastim, Rituximab, "
ACTH-Secreting Pituitary Adenoma,"Carfilzomib, Aminolevulinic Acid HCl, Simeprevir Sodium, "
Hemangioma Cavernous Central Nervous System,"Denosumab, Capecitabine, Cyanocobalamin (Vitamin B-12), Mitomycin, Efavirenz Emtricitab Tenofovir, "
Adrenocortical Adenoma,"Diclofenac Sodium, Octreotide Acetate,mi-Spheres, "
Eyelid Neoplasms,"Prednisolone Acetate, Tiotropium Bromide, Captopril, "
Optic Nerve Neoplasms,"Sitagliptin Phosphate, Octreotide Acetate, "
ACTH Syndrome Ectopic,"Daptomycin, Cetuximab, Fluticasone Salmeterol, Infliximab, Rivaroxaban, "
Kashin-Beck Disease,"Insulin Glargine,Hum.Rec.Anlog, Methylprednisolone Acetate (80 mg), "
Barrett Esophagus,"Econazole Nitrate, Thyrotropin Alfa, Aripiprazole, Insulin Glargine,Hum.Rec.Anlog, Emtricitabine Tenofovir, Pegfilgrastim, "
