disease,symptoms
Stress Disorders Traumatic,Fever Fatigue Mental Retardation Perceptual Disorders Hallucinations Psychophysiologic Disorders 
Factitious Disorders,Fever Fever of Unknown Origin Obesity Cyanosis Edema Fatigue Dystonia Psychomotor Agitation Apraxias Anomia Speech Disorders Mutism Learning Disorders Confusion Delirium Consciousness Disorders Syncope Memory Disorders Amnesia Mental Retardation Agnosia Hallucinations Psychomotor Disorders Muscle Hypotonia Muscle Weakness Pain Paralysis Hemiplegia Paraplegia Quadriplegia Paresis Psychophysiologic Disorders Seizures Sensation Disorders Hearing Disorders Deafness Hearing Loss Functional Presbycusis Usher Syndromes Vision Disorders Blindness Sleep Disorders Sleep Deprivation Urinary Bladder Neurogenic Oral Hemorrhage Abdominal Pain Abdomen Acute Colic Flank Pain Diarrhea Gagging Bulimia Vomiting Respiratory Sounds Sneezing Skin Manifestations Pruritus Purpura Purpura Thrombocytopenic Proteinuria 
Attention Deficit and Disruptive Behavior Disorders,Fever Body Weight Birth Weight Weight Gain Obesity Dyskinesias Hyperkinesis Psychomotor Agitation Neurobehavioral Manifestations Communication Disorders Language Disorders Dyslexia Language Development Disorders Learning Disorders Mental Retardation Psychomotor Disorders Pain Headache Psychophysiologic Disorders Deafness Vision Disorders Sleep Disorders Constipation Encopresis Hyperphagia Anoxia Cough Snoring 
Attention Deficit Disorder with Hyperactivity,Fever Hypothermia Body Weight Birth Weight Weight Gain Weight Loss Overweight Obesity Obesity Morbid Cyanosis Eye Manifestations Fatigue Mental Fatigue Fetal Distress Flushing Motion Sickness Neurologic Manifestations Ataxia Catalepsy Chorea Dystonia Torticollis Hyperkinesis Myoclonus Psychomotor Agitation Akathisia Drug-Induced Tics Tremor Neurobehavioral Manifestations Apraxias Catatonia Communication Disorders Language Disorders Agraphia Anomia Dyslexia Dyslexia Acquired Language Development Disorders Speech Disorders Aphasia Articulation Disorders Mutism Stuttering Learning Disorders Delirium Unconsciousness Syncope Memory Disorders Amnesia Mental Retardation Perceptual Disorders Agnosia Auditory Perceptual Disorders Hallucinations Illusions Phantom Limb Psychomotor Disorders Muscle Cramp Muscle Spasticity Muscle Hypotonia Muscle Weakness Pain Headache Facial Paralysis Hemiplegia Ophthalmoplegia Supranuclear Palsy Progressive Paresis Psychophysiologic Disorders Reflex Abnormal Seizures Sensation Disorders Dizziness Hearing Disorders Hearing Loss Deafness Hearing Loss Functional Hearing Loss Sensorineural Tinnitus Olfaction Disorders Somatosensory Disorders Vision Disorders Blindness Vision Low Sleep Disorders Sleep Deprivation Urinary Bladder Neurogenic Vertigo Abdominal Pain Angina Pectoris Toothache Dysmenorrhea Anorexia Constipation Diarrhea Dyspepsia Encopresis Halitosis Hyperphagia Bulimia Nausea Vomiting Anoxia Fetal Hypoxia Cough Dyspnea Hypoventilation Snoring Urinary Incontinence 
Child Development Disorders Pervasive,Fever Body Weight Birth Weight Weight Gain Obesity Mobility Limitation Chorea Hyperkinesis Psychomotor Agitation Tics Apraxias Catatonia Communication Disorders Language Disorders Dyslexia Language Development Disorders Speech Disorders Aphasia Echolalia Mutism Learning Disorders Memory Disorders Mental Retardation Perceptual Disorders Prosopagnosia Auditory Perceptual Disorders Illusions Psychomotor Disorders Muscle Hypotonia Pain Quadriplegia Reflex Abnormal Seizures Sensation Disorders Hearing Loss Deafness Tinnitus Vision Disorders Blindness Vision Low Sleep Disorders Sleep Deprivation Abdominal Pain Dysmenorrhea Constipation Diarrhea Vomiting Fetal Hypoxia 
Autistic Disorder,Fever Fever of Unknown Origin Body Weight Birth Weight Fetal Macrosomia Weight Gain Weight Loss Fetal Weight Overweight Obesity Thinness Cyanosis Edema Fatigue Mental Fatigue Fetal Distress Flushing Dyskinesias Ataxia Cerebellar Ataxia Dystonia Hyperkinesis Myoclonus Psychomotor Agitation Akathisia Drug-Induced Tics Tremor Gait Disorders Neurologic Gait Apraxia Apraxias Catatonia Communication Disorders Language Disorders Anomia Dyslexia Language Development Disorders Speech Disorders Aphasia Aphasia Broca Aphasia Wernicke Articulation Disorders Dysarthria Echolalia Mutism Learning Disorders Delirium Syncope Lethargy Memory Disorders Amnesia Mental Retardation Perceptual Disorders Agnosia Prosopagnosia Auditory Perceptual Disorders Hallucinations Illusions Psychomotor Disorders Muscle Rigidity Muscle Spasticity Muscle Hypotonia Muscular Atrophy Spasm Pain Headache Paralysis Facial Paralysis Ophthalmoplegia Psychophysiologic Disorders Reflex Abnormal Seizures Sensation Disorders Hearing Disorders Hearing Loss Deafness Deaf-Blind Disorders Hearing Loss Bilateral Hearing Loss Conductive Hearing Loss Sensorineural Hyperacusis Tinnitus Olfaction Disorders Somatosensory Disorders Hyperalgesia Hyperesthesia Vision Disorders Amblyopia Blindness Photophobia Vision Low Sleep Disorders Sleep Deprivation Voice Disorders Abdominal Pain Toothache Dysmenorrhea Constipation Diarrhea Encopresis Flatulence Vomiting Anoxia Fetal Hypoxia Apnea Hyperventilation Purpura Proteinuria Urinary Incontinence Hirsutism 
Schizophrenia Catatonic,Fever Hypothermia Cyanosis Dyskinesias Catalepsy Dystonia Hyperkinesis Psychomotor Agitation Akathisia Drug-Induced Catatonia Language Development Disorders Mutism Coma Memory Disorders Amnesia Retrograde Mental Retardation Hallucinations Psychomotor Disorders Muscle Rigidity Trismus Paralysis Ophthalmoplegia Psychophysiologic Disorders Seizures Sleep Disorders Anorexia Anoxia 
Schizophrenia Disorganized,Fever Hypothermia Body Weight Chorea Psychomotor Agitation Akathisia Drug-Induced Tremor Neurobehavioral Manifestations Catatonia Communication Disorders Coma Memory Disorders Mental Retardation Perceptual Disorders Hallucinations Psychomotor Disorders Psychophysiologic Disorders Coprophagia 
Somatoform Disorders,Fever Body Weight Weight Loss Obesity Thinness Cyanosis Edema Fatigue Mental Fatigue Intermittent Claudication Motion Sickness Ataxia Athetosis Dystonia Myoclonus Psychomotor Agitation Akathisia Drug-Induced Tremor Gait Disorders Neurologic Language Development Disorders Speech Disorders Dysarthria Stuttering Learning Disorders Confusion Delirium Syncope Syncope Vasovagal Memory Disorders Amnesia Amnesia Retrograde Mental Retardation Perceptual Disorders Agnosia Hallucinations Illusions Phantom Limb Psychomotor Disorders Muscle Cramp Muscle Weakness Spasm Hemifacial Spasm Pain Back Pain Low Back Pain Facial Pain Headache Neck Pain Neuralgia Sciatica Pain Intractable Paralysis Hemiplegia Supranuclear Palsy Progressive Paraplegia Vocal Cord Paralysis Paresis Psychophysiologic Disorders Reflex Abnormal Seizures Sensation Disorders Dizziness Hearing Disorders Deafness Hearing Loss Sensorineural Hearing Loss Sudden Tinnitus Somatosensory Disorders Hyperalgesia Hypesthesia Paresthesia Dysgeusia Vision Disorders Blindness Sleep Disorders Sleep Deprivation Vertigo Voice Disorders Aphonia Hoarseness Abdominal Pain Colic Arthralgia Shoulder Pain Chest Pain Angina Pectoris Earache Toothache Flank Pain Glossalgia Pain Postoperative Pelvic Pain Dysmenorrhea Aerophagy Anorexia Constipation Diarrhea Dyspepsia Encopresis Flatulence Halitosis Hyperphagia Bulimia Nausea Vomiting Morning Sickness Hyperemesis Gravidarum Apnea Cough Dyspnea Hemoptysis Hypercapnia Hyperventilation Hypocapnia Respiratory Sounds Jaundice Pruritus Purpura Polyuria Albuminuria Urinary Incontinence Hirsutism 
Calculi,Fever Body Weight Weight Gain Emaciation Overweight Obesity Edema Intermittent Claudication Mental Retardation Pain Back Pain Low Back Pain Paraplegia Quadriplegia Dizziness Hearing Loss Hearing Loss Sensorineural Olfaction Disorders Vertigo Hoarseness Abdominal Pain Abdomen Acute Colic Chest Pain Pelvic Pain Constipation Diarrhea Eructation Halitosis Vomiting Hematemesis Anoxia Cough Dyspnea Hemoptysis Respiratory Sounds Snoring Sneezing Jaundice Jaundice Obstructive Hypercalciuria Urinary Incontinence Urinary Incontinence Stress 
Choristoma,Fever Body Weight Weight Loss Obesity Edema Hydrops Fetalis Cerebrospinal Fluid Rhinorrhea Myoclonus Language Disorders Dyslexia Language Development Disorders Speech Disorders Aphasia Coma Syncope Mental Retardation Psychomotor Disorders Muscle Weakness Muscular Atrophy Trismus Pain Back Pain Headache Sciatica Paralysis Facial Paralysis Ophthalmoplegia Paraplegia Quadriplegia Vocal Cord Paralysis Paresis Pupil Disorders Horner Syndrome Seizures Dizziness Hearing Disorders Hearing Loss Deafness Hearing Loss Bilateral Hearing Loss Conductive Hearing Loss Sensorineural Tinnitus Olfaction Disorders Vision Disorders Amblyopia Blindness Diplopia Vision Low Vertigo Voice Disorders Dysphonia Hoarseness Oral Hemorrhage Abdominal Pain Abdomen Acute Colic Chest Pain Flank Pain Glossalgia Pelvic Pain Dysmenorrhea Constipation Diarrhea Diarrhea Infantile Dyspepsia Nausea Vomiting Hematemesis Fetal Hypoxia Apnea Cough Dyspnea Hemoptysis Respiratory Sounds Jaundice Jaundice Obstructive Purpura Thrombocytopenic Purpura Thrombocytopenic Idiopathic Urinary Incontinence Virilism Hirsutism 
Constriction Pathologic,Fever Body Weight Weight Gain Obesity Edema Hydrops Fetalis Heart Murmurs Intermittent Claudication Mental Retardation Muscle Weakness Pain Headache Neuralgia Sciatica Paralysis Facial Paralysis Dizziness Deafness Hearing Loss Sensorineural Tinnitus Hyperalgesia Hypesthesia Paresthesia Amaurosis Fugax Vision Low Sleep Disorders Vertigo Abdominal Pain Arthralgia Chest Pain Angina Unstable Vomiting Anoxia Apnea Dyspnea Snoring Jaundice Purpura Schoenlein-Henoch Purpura Thrombotic Thrombocytopenic Proteinuria Urinary Incontinence 
Diverticulum,Fever Fever of Unknown Origin Body Weight Weight Loss Obesity Cyanosis Edema Eye Manifestations Cerebellar Ataxia Gait Disorders Neurologic Syncope Spasm Pain Back Pain Low Back Pain Headache Sciatica Facial Paralysis Gastroparesis Ophthalmoplegia Paraplegia Quadriplegia Vocal Cord Paralysis Psychophysiologic Disorders Horner Syndrome Dizziness Deafness Hearing Loss Conductive Hearing Loss Sensorineural Hearing Loss Sudden Tinnitus Somatosensory Disorders Vision Disorders Urinary Bladder Neurogenic Vertigo Voice Disorders Hoarseness Abdominal Pain Abdomen Acute Colic Chest Pain Angina Pectoris Acute Coronary Syndrome Pelvic Pain Constipation Diarrhea Dyspepsia Flatulence Nausea Vomiting Hematemesis Apnea Cough Dyspnea Hemoptysis Respiratory Sounds Sneezing Jaundice Jaundice Obstructive Dysuria Hypercalciuria Oliguria Urinary Incontinence Urinary Incontinence Stress 
Diverticulum Colon,Fever Body Weight Weight Loss Obesity Edema Syncope Muscle Hypotonia Spasm Pain Quadriplegia Vocal Cord Paralysis Psychophysiologic Disorders Abdominal Pain Abdomen Acute Angina Pectoris Earache Pain Postoperative Constipation Diarrhea Dyspepsia Flatulence Nausea Vomiting Cough 
Facial Asymmetry,Fever Body Weight Cyanosis Edema Fatigue Dystonia Torticollis Language Development Disorders Speech Disorders Consciousness Disorders Mental Retardation Psychomotor Disorders Muscle Hypotonia Muscular Atrophy Spasm Trismus Pain Facial Pain Headache Neck Pain Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Seizures Sensation Disorders Dizziness Hearing Disorders Hearing Loss Hearing Loss Conductive Hearing Loss Sensorineural Hypesthesia Paresthesia Vision Disorders Amblyopia Vertigo Oral Hemorrhage Shoulder Pain Mouth Breathing Snoring 
Fistula,Fever Fever of Unknown Origin Body Weight Weight Loss Obesity Morbid Cardiac Output Low Cyanosis Edema Fatigue Heart Murmurs Intermittent Claudication Motion Sickness Cerebrospinal Fluid Otorrhea Cerebrospinal Fluid Rhinorrhea Ataxia Torticollis Gait Disorders Neurologic Communication Disorders Speech Disorders Aphasia Confusion Unconsciousness Coma Syncope Mental Retardation Muscle Hypotonia Muscle Weakness Trismus Tetany Pain Back Pain Headache Sciatica Paralysis Facial Paralysis Hemiplegia Paraplegia Quadriplegia Respiratory Paralysis Vocal Cord Paralysis Paraparesis Horner Syndrome Reflex Abnormal Sensation Disorders Dizziness Hearing Disorders Hearing Loss Deafness Hearing Loss Bilateral Hearing Loss Conductive Hearing Loss High-Frequency Hearing Loss Mixed Conductive-Sensorineural Hearing Loss Sensorineural Hearing Loss Central Hearing Loss Noise-Induced Hearing Loss Sudden Tinnitus Olfaction Disorders Paresthesia Vision Disorders Amblyopia Blindness Diplopia Urinary Bladder Neurogenic Vertigo Hoarseness Oral Hemorrhage Abdominal Pain Abdomen Acute Colic Chest Pain Angina Pectoris Acute Coronary Syndrome Angina Unstable Earache Pelvic Pain Constipation Diarrhea Halitosis Heartburn Nausea Vomiting Hematemesis Anoxia Cough Dyspnea Hemoptysis Hypoventilation Respiratory Sounds Skin Manifestations Jaundice Proteinuria Hemoglobinuria Urinary Incontinence Urinary Incontinence Stress 
Hernia Inguinal,Fever Body Weight Birth Weight Obesity Obesity Morbid Thinness Edema Unconsciousness Mental Retardation Muscle Hypotonia Muscle Weakness Muscular Atrophy Pain Back Pain Low Back Pain Neuralgia Pain Intractable Paralysis Seizures Deafness Hearing Loss Noise-Induced Photophobia Urinary Bladder Neurogenic Abdominal Pain Abdomen Acute Colic Flank Pain Pain Postoperative Pelvic Pain Constipation Dyspepsia Vomiting Hematemesis Anoxia Apnea Cough Pruritus Urinary Incontinence Urinary Incontinence Stress 
Hernia Diaphragmatic,Fever Fever of Unknown Origin Body Weight Birth Weight Weight Loss Fetal Weight Obesity Obesity Morbid Cardiac Output Low Cyanosis Edema Hydrops Fetalis Fatigue Fetal Distress Heart Murmurs Neurologic Manifestations Torticollis Myoclonus Akathisia Drug-Induced Language Disorders Speech Disorders Learning Disorders Syncope Mental Retardation Psychomotor Disorders Muscle Cramp Muscle Spasticity Muscle Hypotonia Spasm Tetany Pain Back Pain Paralysis Facial Paralysis Paraplegia Respiratory Paralysis Psychophysiologic Disorders Reflex Abnormal Seizures Hearing Loss Deafness Hearing Loss Conductive Hearing Loss Sensorineural Vision Disorders Sleep Disorders Hoarseness Abdominal Pain Abdomen Acute Colic Chest Pain Angina Pectoris Earache Flank Pain Pain Postoperative Aerophagy Constipation Diarrhea Dyspepsia Eructation Flatulence Heartburn Hiccup Nausea Vomiting Hematemesis Hyperemesis Gravidarum Anoxia Apnea Cough Dyspnea Hemoptysis Hypercapnia Hyperoxia Hyperventilation Hypoventilation Respiratory Aspiration Respiratory Sounds Ecchymosis Jaundice Jaundice Obstructive Pruritus 
Hernia Diaphragmatic Traumatic,Fever Weight Loss Obesity Cyanosis Neurologic Manifestations Consciousness Disorders Pain Back Pain Paralysis Paraplegia Respiratory Paralysis Abdominal Pain Abdomen Acute Chest Pain Nausea Vomiting Hyperemesis Gravidarum Cough Dyspnea Dyspnea Paroxysmal Respiratory Sounds 
Hernia Hiatal,Fever Body Weight Birth Weight Weight Loss Overweight Obesity Obesity Morbid Cardiac Output Low Cyanosis Heart Murmurs Neurologic Manifestations Torticollis Akathisia Drug-Induced Syncope Mental Retardation Pain Headache Quadriplegia Vocal Cord Paralysis Psychophysiologic Disorders Hoarseness Abdominal Pain Abdomen Acute Arthralgia Chest Pain Angina Pectoris Acute Coronary Syndrome Angina Unstable Angina Pectoris Variant Earache Pain Postoperative Aerophagy Constipation Diarrhea Dyspepsia Eructation Flatulence Gagging Heartburn Hiccup Nausea Postoperative Nausea and Vomiting Vomiting Hematemesis Hyperemesis Gravidarum Apnea Cough Dyspnea Respiratory Sounds Ecchymosis Jaundice 
Splenomegaly,Fever Fever of Unknown Origin Body Weight Weight Loss Emaciation Obesity Cardiac Output Low Chills Cyanosis Edema Hydrops Fetalis Eye Manifestations Fatigue Hypergammaglobulinemia Neurologic Manifestations Cerebellar Ataxia Dysarthria Confusion Coma Lethargy Mental Retardation Muscular Atrophy Spasm Pain Headache Pain Intractable Facial Paralysis Hemiplegia Ophthalmoplegia Seizures Dizziness Hearing Loss Sensorineural Vision Disorders Blindness Vertigo Abdominal Pain Abdomen Acute Arthralgia Chest Pain Pain Postoperative Diarrhea Nausea Vomiting Hematemesis Anoxia Cough Dyspnea Hemoptysis Skin Manifestations Ecchymosis Jaundice Pallor Pruritus Purpura Purpura Hyperglobulinemic Purpura Thrombocytopenic Purpura Thrombocytopenic Idiopathic Purpura Thrombotic Thrombocytopenic Proteinuria 
Polyps,Fever Body Weight Obesity Cyanosis Edema Cerebrospinal Fluid Rhinorrhea Syncope Mental Retardation Pain Back Pain Low Back Pain Facial Paralysis Vocal Cord Paralysis Hearing Loss Hearing Loss Conductive Olfaction Disorders Vision Disorders Blindness Urinary Bladder Neurogenic Voice Disorders Aphonia Dysphonia Hoarseness Oral Manifestations Abdominal Pain Abdomen Acute Arthralgia Anorexia Constipation Diarrhea Dyspepsia Flatulence Vomiting Hematemesis Cough Dyspnea Hemoptysis Hypoventilation Mouth Breathing Respiratory Aspiration Respiratory Sounds Skin Manifestations Jaundice Proteinuria Urinary Incontinence 
Ascites,Fever Fever of Unknown Origin Body Weight Weight Gain Weight Loss Emaciation Cachexia Obesity Thinness Cardiac Output Low Edema Edema Cardiac Hydrops Fetalis Fatigue Fetal Distress Heart Murmurs Confusion Consciousness Disorders Coma Pain Headache Paralysis Facial Paralysis Hemiplegia Paraplegia Seizures Paresthesia Urinary Bladder Neurogenic Abdominal Pain Abdomen Acute Chest Pain Acute Coronary Syndrome Pain Postoperative Pelvic Pain Anorexia Constipation Diarrhea Diarrhea Infantile Dyspepsia Nausea Vomiting Hematemesis Anoxia Dyspnea Respiratory Sounds Skin Manifestations Jaundice Purpura Purpura Schoenlein-Henoch Purpura Thrombocytopenic Idiopathic Purpura Thrombotic Thrombocytopenic Dysuria Oliguria Proteinuria Albuminuria Urinary Incontinence Stress Urinoma Virilism 
Chromosome Aberrations,Fever Body Weight Birth Weight Fetal Macrosomia Obesity Cyanosis Edema Hydrops Fetalis Eye Manifestations Fatigue Feminization Heart Murmurs Hypergammaglobulinemia Neurologic Manifestations Ataxia Cerebellar Ataxia Athetosis Chorea Dystonia Torticollis Hyperkinesis Hypokinesia Myoclonus Psychomotor Agitation Tremor Communication Disorders Language Disorders Language Development Disorders Speech Disorders Dysarthria Learning Disorders Mental Retardation Perceptual Disorders Psychomotor Disorders Muscle Hypertonia Muscle Rigidity Muscle Spasticity Muscle Hypotonia Muscle Weakness Muscular Atrophy Spasm Trismus Pain Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Ophthalmoplegia Chronic Progressive External Paraplegia Quadriplegia Vocal Cord Paralysis Psychophysiologic Disorders Horner Syndrome Reflex Abnormal Seizures Hearing Disorders Hearing Loss Deafness Hearing Loss Bilateral Hearing Loss Conductive Hearing Loss High-Frequency Hearing Loss Sensorineural Olfaction Disorders Vision Disorders Amblyopia Blindness Color Vision Defects Sleep Disorders Voice Disorders Oral Manifestations Angina Pectoris Dysmenorrhea Diarrhea Infantile Hyperphagia Anoxia Fetal Hypoxia Apnea Respiratory Sounds Skin Manifestations Cafe-au-Lait Spots Jaundice Pallor Purpura Schoenlein-Henoch Purpura Thrombocytopenic Purpura Thrombotic Thrombocytopenic Proteinuria Virilism 
Monosomy,Fever Obesity Hydrops Fetalis Language Development Disorders Learning Disorders Mental Retardation Psychomotor Disorders Muscle Hypotonia Seizures Cough Dyspnea 
Micronuclei Chromosome-Defective,Fever Hypothermia Body Weight Flushing Low Back Pain Anoxia 
Sex Chromosome Aberrations,Fever Body Weight Birth Weight Fetal Macrosomia Obesity Edema Hydrops Fetalis Feminization Hypergammaglobulinemia Neurologic Manifestations Cerebellar Ataxia Chorea Dystonia Hyperkinesis Tremor Apraxias Language Disorders Dyslexia Dyslexia Acquired Language Development Disorders Speech Disorders Aphasia Articulation Disorders Echolalia Learning Disorders Syncope Mental Retardation Perceptual Disorders Gerstmann Syndrome Hallucinations Psychomotor Disorders Muscle Spasticity Muscle Hypotonia Muscular Atrophy Headache Paralysis Facial Paralysis Paraplegia Quadriplegia Psychophysiologic Disorders Reflex Abnormal Seizures Hearing Disorders Hearing Loss Deafness Hearing Loss Bilateral Olfaction Disorders Hypesthesia Vision Disorders Blindness Color Vision Defects Constipation Respiratory Sounds Skin Manifestations Purpura Thrombocytopenic Proteinuria Virilism 
Asphyxia,Fever Hypothermia Body Weight Birth Weight Weight Gain Fetal Weight Obesity Cyanosis Edema Hydrops Fetalis Eye Manifestations Eye Hemorrhage Fetal Distress Neurologic Manifestations Decerebrate State Athetosis Chorea Dystonia Hyperkinesis Myoclonus Psychomotor Agitation Language Disorders Dyslexia Speech Disorders Aphasia Confusion Delirium Unconsciousness Coma Syncope Memory Disorders Amnesia Amnesia Retrograde Mental Retardation Psychomotor Disorders Muscle Hypertonia Muscle Spasticity Muscle Hypotonia Spasm Pain Neck Pain Paralysis Hemiplegia Supranuclear Palsy Progressive Paraplegia Quadriplegia Respiratory Paralysis Vocal Cord Paralysis Reflex Abnormal Seizures Hearing Disorders Vision Disorders Blindness Diplopia Hemianopsia Sleep Deprivation Oral Hemorrhage Chest Pain Pain Postoperative Diarrhea Infantile Hyperphagia Vomiting Anoxia Fetal Hypoxia Apnea Cheyne-Stokes Respiration Cough Dyspnea Dyspnea Paroxysmal Hemoptysis Hypercapnia Hyperoxia Hyperventilation Hypocapnia Hypoventilation Respiratory Aspiration Respiratory Sounds Ecchymosis Purpura Polyuria 
Sudden Infant Death,Fever Hypothermia Body Weight Birth Weight Fetal Macrosomia Weight Gain Obesity Cardiac Output Low Cyanosis Edema Eye Hemorrhage Fatigue Neurologic Manifestations Hypokinesia Unconsciousness Coma Syncope Syncope Vasovagal Mental Retardation Muscle Hypertonia Muscle Weakness Tetany Headache Paralysis Respiratory Paralysis Psychophysiologic Disorders Reflex Abnormal Seizures Vision Disorders Photophobia Sleep Disorders Sleep Deprivation Oral Hemorrhage Abdominal Pain Colic Diarrhea Diarrhea Infantile Eructation Gagging Vomiting Anoxia Fetal Hypoxia Apnea Cheyne-Stokes Respiration Cough Dyspnea Hypercapnia Hyperventilation Hypoventilation Mouth Breathing Respiratory Aspiration Snoring Purpura Waterhouse-Friderichsen Syndrome 
Drowning,Fever Hypothermia Body Weight Obesity Edema Eye Hemorrhage Language Development Disorders Speech Disorders Consciousness Disorders Unconsciousness Coma Syncope Mental Retardation Muscular Atrophy Spasm Paralysis Quadriplegia Seizures Dizziness Deafness Vertigo Vomiting Anoxia Apnea Hyperventilation Respiratory Aspiration Purpura 
Disease,Fever Sweating Sickness Body Weight Birth Weight Cachexia Obesity Thinness Fatigue Ataxia Catatonia Speech Disorders Delirium Consciousness Disorders Mental Retardation Hallucinations Muscular Atrophy Pain Headache Paralysis Psychophysiologic Disorders Hearing Disorders Hearing Loss Hyperalgesia Blindness Sleep Disorders Oral Manifestations Colic Chest Pain Angina Pectoris Toothache Pain Postoperative Diarrhea Diarrhea Infantile Nausea Vomiting Anoxia Cheyne-Stokes Respiration Cough Skin Manifestations Purpura Thrombocytopenic Idiopathic 
Acute Disease,Fever Birth Weight Confusion Delirium Consciousness Disorders Coma Pain Low Back Pain Sciatica Diarrhea Nausea Vomiting Anoxia Cough 
Chronic Disease,Fever Fever of Unknown Origin Body Weight Weight Loss Cachexia Overweight Obesity Fatigue Hypergammaglobulinemia Mobility Limitation Psychomotor Agitation Apraxias Communication Disorders Dyslexia Learning Disorders Delirium Coma Syncope Memory Disorders Mental Retardation Agnosia Illusions Muscle Weakness Pain Back Pain Low Back Pain Headache Neuralgia Pain Intractable Paralysis Hemiplegia Paraplegia Quadriplegia Psychophysiologic Disorders Seizures Hearing Disorders Deafness Hyperalgesia Vision Disorders Vision Low Sleep Disorders Sleep Deprivation Oral Manifestations Abdominal Pain Colic Shoulder Pain Angina Pectoris Angina Unstable Pain Postoperative Pelvic Pain Constipation Diarrhea Bulimia Nausea Vomiting Anoxia Cough Dyspnea Pruritus Purpura Thrombocytopenic Proteinuria Albuminuria Urinary Incontinence 
Critical Illness,Fever Hypothermia Body Weight Birth Weight Weight Loss Cachexia Obesity Obesity Morbid Thinness Cardiac Output Low Cyanosis Edema Fatigue Psychomotor Agitation Speech Disorders Confusion Delirium Consciousness Disorders Unconsciousness Coma Memory Disorders Amnesia Hallucinations Illusions Muscle Hypotonia Muscle Weakness Muscular Atrophy Pain Pain Intractable Paralysis Gastroparesis Paraplegia Quadriplegia Seizures Sleep Disorders Sleep Deprivation Hoarseness Pain Postoperative Constipation Diarrhea Nausea Vomiting Anoxia Apnea Cough Dyspnea Hypercapnia Hypocapnia Hypoventilation Respiratory Aspiration Jaundice Purpura Thrombotic Thrombocytopenic Oliguria 
Disease Susceptibility,Fever Body Weight Birth Weight Weight Loss Obesity Thinness Edema Fatigue Motion Sickness Cerebellar Ataxia Dystonia Myoclonus Memory Disorders Mental Retardation Hallucinations Pain Headache Neuralgia Psychophysiologic Disorders Seizures Hearing Loss Noise-Induced Sleep Disorders Sleep Deprivation Voice Disorders Diarrhea Anoxia Dyspnea Skin Manifestations Proteinuria 
Diseases in Twins,Fever Hypothermia Body Weight Birth Weight Weight Gain Weight Loss Fetal Weight Overweight Obesity Obesity Morbid Thinness Edema Hydrops Fetalis Fatigue Mental Fatigue Fetal Distress Flushing Hypergammaglobulinemia Intermittent Claudication Motion Sickness Neurologic Manifestations Athetosis Chorea Dystonia Torticollis Myoclonus Gait Disorders Neurologic Communication Disorders Language Disorders Dyslexia Language Development Disorders Speech Disorders Aphasia Articulation Disorders Dysarthria Stuttering Learning Disorders Memory Disorders Mental Retardation Auditory Perceptual Disorders Hallucinations Psychomotor Disorders Muscle Hypertonia Muscle Rigidity Muscle Hypotonia Muscle Weakness Muscular Atrophy Pain Back Pain Low Back Pain Facial Pain Headache Neck Pain Sciatica Pain Intractable Paralysis Hemiplegia Ophthalmoplegia Quadriplegia Psychophysiologic Disorders Seizures Sensation Disorders Hearing Disorders Hearing Loss Deafness Hearing Loss Bilateral Hearing Loss Conductive Hearing Loss Sensorineural Presbycusis Olfaction Disorders Vision Disorders Blindness Color Vision Defects Vision Low Sleep Disorders Sleep Deprivation Aphonia Dysphonia Oral Manifestations Abdominal Pain Angina Pectoris Angina Unstable Toothache Dysmenorrhea Constipation Diarrhea Infantile Hyperphagia Bulimia Vomiting Morning Sickness Fetal Hypoxia Apnea Cough Dyspnea Hypercapnia Respiratory Sounds Snoring Pruritus Purpura Schoenlein-Henoch Purpura Thrombocytopenic Purpura Thrombocytopenic Idiopathic Proteinuria 
Emergencies,Fever Hypothermia Cyanosis Fatigue Myoclonus Consciousness Disorders Unconsciousness Coma Syncope Muscle Weakness Pain Paresis Psychophysiologic Disorders Seizures Oral Hemorrhage Abdomen Acute Pain Postoperative Vomiting Anoxia Hemoptysis Hyperventilation 
Facies,Fever Hypothermia Body Weight Obesity Edema Eye Manifestations Flushing Motion Sickness Dyskinesias Chorea Dystonia Psychomotor Agitation Synkinesis Tics Apraxias Language Development Disorders Stuttering Syncope Amnesia Mental Retardation Prosopagnosia Phantom Limb Muscle Weakness Spasm Trismus Pain Facial Pain Headache Pain Intractable Facial Paralysis Hemiplegia Supranuclear Palsy Progressive Pupil Disorders Horner Syndrome Reflex Abnormal Seizures Sensation Disorders Dizziness Hearing Disorders Deafness Hearing Loss Sensorineural Somatosensory Disorders Hyperalgesia Hypesthesia Paresthesia Vision Disorders Blindness Hemianopsia Sleep Disorders Vertigo Voice Disorders Oral Manifestations Oral Hemorrhage Abdominal Pain Angina Pectoris Toothache Glossalgia Pain Postoperative Vomiting Hematemesis Anoxia Apnea Dyspnea Hypercapnia Hyperventilation Mouth Breathing Snoring Skin Manifestations Ecchymosis Pallor Pruritus Purpura 
